gram_size,복합명사,빈도
2,무대_디자이너,80
2,극장_규모,80
2,장르_예술가,80
2,연극_음악,80
2,단원_활동,80
2,춤_맥,80
3,포스트_모던_댄스,79
2,유리_그리고로비치,79
3,공공_무용단_운영,79
2,계약_체결,79
3,장애인_문화_예술,79
2,이메일_접수,79
2,볼거리_제공,79
2,사회_기업,79
3,공연_예술_창작,79
2,정치_사회,79
2,적극_참여,79
2,존재_이유,79
2,국립발레단_단원,79
2,발레_테크닉,79
2,교육_현장,79
5,국제_무용_협회_한국_본부,78
4,무용_협회_한국_본부,78
3,우수_작품_상,78
3,활동_지원_사업,78
3,현대_무용_안무가,78
2,신체_조건,78
2,창_제작,78
3,전통_춤_창작,78
2,장르_특성,78
2,영상_콘텐츠,78
2,여성_남성,78
2,조명_의상,78
2,인간_신체,78
2,지역_공공,78
2,영상_이미지,78
2,스타_무용수,78
2,무용_관계자,78
2,존재_의미,78
3,영국_로열_발레단,77
2,조선_후기,77
2,학술_심포지엄,77
2,전문무용수지원센터_이사장,77
2,스트리트_댄스,77
2,서사_구조,77
2,특별_출연,77
2,극장_대관,77
2,체험_프로그램,77
2,무용_대전,77
2,무대_구현,77
2,무용단_신작,77
2,작업_시도,77
2,개인_단체,77
3,축하_수상_소감,76
3,불교_무용_대전,76
3,육성_지원_사업,76
3,국제_안무가_육성,76
2,구술_채록,76
2,여론_조사,76
3,문화_예술_교류,76
2,축하_수상,76
3,한국_창작_발레,76
2,눈_귀,76
2,지도_위원,76
2,오브제_활용,76
3,발레_한국_무용,76
2,랜선_공연,76
2,전시_공간,76
2,언어_표현,76
2,운영_방식,76
2,교류_사업,76
2,배경_음악,76
2,활동_지속,76
2,안무_법,76
2,근대_무용,76
3,단체_육성_지원,75
3,김성용_예술_감독,75
3,춤_축제_사무국,75
3,작품_상_수상,75
2,국립국악원_예악당,75
2,무형_문화유산,75
2,악기_연주,75
2,도립_무용단,75
2,민족_미학,75
2,계기_마련,75
2,일반_시민,75
2,관객_박수,75
2,김성용_예술,75
2,활동_영역,75
2,예술_교과,75
2,축제_개최,75
2,발레단_단원,75
2,우수_안무,75
2,안무_스타일,75
2,움직임_집중,75
2,움직임_언어,75
5,국제_즉흥_춤_축제_사무국,74
4,즉흥_춤_축제_사무국,74
2,수교_기념,74
2,겸임_교수,74
2,위원회_위원장,74
2,수상_축하,74
2,관람_연령,74
3,무용_예술_상,74
2,무용단_입단,74
2,전통_악기,74
2,형식_내용,74
2,현대_미술,74
2,국내_초청,74
2,관객_감동,74
2,국내_해외,74
2,발레_전공,74
2,예술인_사회,74
2,길이_작품,74
2,중요_부분,74
2,전통_소재,74
2,이날_공연,74
2,문화_센터,74
2,국립_발레단,74
4,문화_예술_회관_공연장,73
2,진도_씻김굿,73
2,김성_민,73
2,스토리_라인,73
2,천_홍,73
2,참여자_모집,73
2,민_천,73
2,발레_뤼스,73
2,트러스트_무용단,73
2,해외_초청작,73
3,춤_예술_센터,73
2,감독_부임,73
3,전통_춤_현대,73
2,토_금,73
2,수_오후,73
2,객원_안무,73
2,영상_매체,73
2,세종_문화,73
2,의미_전달,73
2,한국_근대,73
2,자신_이름,73
2,전통_탈춤,73
2,작품_유통,73
2,어린이_무용,73
2,나라_문화,73
